id,player,colour
v8ldrplj,Comichimera,#F772C5
x72e5068,Lulustain,#7AB941
jngo4ow8,CanisCanemEdit,#249BCE
j5wdz46j,SmugPotato,#EE2222
jn3k3rdx,Vaurien,#4646CE
j40ev1w8,Krrly,#DAA520
xz0o1d48,GoBucky76,#EE2222
8gro9rpx,TacticalF28,#A259C5
jmz4lynx,Bikerbabo16,#7AB941
j0vn9k9x,AB20,#808080
8qpowrwx,AspectrzUK,#EE2222
kjpmn4jq,Zimmycakes,#7AB941
8rpqdd6j,Vuxla,#EE2222
8gevd9rj,Clexxer,#E77471
j42qpg5x,WickedWill944,#DAA520
xk4m2g9j,LuckyLuca593,#EE2222
8l4p7q7j,Dontledeet,#EE2222
j4r49gw8,MrSpaghetti,#808080
Lew,Lew,#EE2222
8r7zv4gj,BlankFA,#DAA520
dx3zvnej,ejones808,#A010A0
x72kyq08,Assassin4890,#009856
8r2lg66x,Eloh03,#EE2222
xylz5rzj,Some_Guy5,#A010A0
8r7mg23j,MachrixTM,#249BCE
jpmvno4j,NovelMacaroon92,#DAA520
xyown7vj,Lunalotl,#EE2222
y8dzzloj,BroskiRacing,#EF2081
xz20w50x,IohannXDXDXD,#A010A0
e8ewlod8,Melwing17,#7AB941
98rokn38,Matthias,#E77471
68w4d44x,Cosyy,#EF2081
j2yw93o8,Joey08932,#7AB941
jprqde48,cLLunacy,#808080
jpznk74x,lxgic_1,#EE2222
jm6ekgn8,tfPancake83,#FFB3F3
867756qj,MWinch,#EE2222